"Sign up for price alert"," Iscriviti all'avviso di prezzo"
"Allow alert when product price changes","Abilita avviso quando il prezzo del prodotto cambia"
"Allow alert when product comes back in stock","Abilita avviso quando il prodotto torna disponibile in magazzino"
"Product Alerts","Avvisi Prodotto"
"Product price alert","Avviso sul prezzo del prodotto"
"Product stock alert","Avviso sulla disponibilità del prodotto"
"Unsubscribe from all price alerts","Cancella l'iscrizione alla segnalazione del prezzo"
"Unsubscribe from all stock alerts","Cancella l'iscrizione alla segnalazione della disponibilità"
"Error Email Recipient","Errore Email Destinatario"
"Error Email Sender","Errore Email Mittente"
"Error Email Template","Errore Email Template"
"Product alerts Cron error","Errore negli avvisi Cron del prodotto"
"Product Alerts Run Settings","Esegui Impostazioni Avvisi Prodotto"
"Click here not to receive alerts for this product","Fai clic qui per non ricevere gli avvisi per questo prodotto"
"Frequency","Frequenza"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Hai ricevuto questa notifica perché hai chiesto di ricevere un avviso quando i prezzi dei seguenti prodotti cambiavano:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Hai ricevuto questa notifica perché hai chiesto di ricevere un avviso quando i seguenti prodotti tornavano disponibili:"
"Not enough parameters","I parametri non sono sufficienti"
"Sign up to get notified when this product is back in stock","Iscriviti a ricevere la notifica di quando il prodotto torna disponibile"
"Alert subscription was deleted successfully","Iscrizione all'avviso elimintato correttamente"
"Alert subscription was saved successfully","Iscrizione all'avviso salvata correttamente"
"Alert Email Sender","Mittente delle email di avviso"
"You will no longer receive stock alerts","Non riceverai più avvisi sulla disponibilità"
"You will no longer receive stock alerts for this product","Non riceverai più avvisi sulla disponibilità di questo prodotto"
"You will no longer receive price alerts for this product","Non riceverai più gli avvisi sul prezzo di questo prodotto"
"Please try again later","Per favore riprova più tardi"
"Special price:","Prezzo speciale:"
"Price:","Prezzo:"
"Product not found","Prodotto non trovato"
"Price alert Email Template","Template delle email avviso sul prezzo"
"Stock alert Email Template","Template Email di avviso di disponibilità"
"Start Time","Tempo di Inizio"
