"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s E' stato aggiunto alla wishlist. Clicca <a href=""%2$s"">qui</a> per continuare."
"* Required Fields","* Campi Obbligatori"
"Enabled","Abilitato"
"Update Wishlist","Aggiorna Wishlist"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add All to Cart","Aggiungi tutto al carrello"
"Added On","Aggiunto il"
"Comment","Commento"
"Share Your Wishlist","Condividi la tua Wishlist"
"Share Wishlist","Condividi Wishlist"
"Wishlist Sharing","Condivisione wishlist"
"RSS Feed","Feed RSS"
"Cannot specify product","Impossibile specificare prodotto"
"Back","Indietro"
"Email addresses, separated by commas","Indirizzi email, separati da virgole"
"Sharing Information","Informazioni di condivisione"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Inserire indirizzi email validi, separati da virgole. Per esempio mario@rossi.com, indirizzo@dominio.com."
"Please, enter your comments...","Inserisci i tuoi commenti..."
"Email address can't be empty.","L'indirizzo Email non può essere vuoto."
"My Wishlist","La mia Wishlist"
"My Wishlist (%d items)","La mia Wishlist (%d prodotti)"
"My Wishlist (%d item)","La mia Wishlist (%d prodotto)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","La mia Wishlist - <a href=""%s"">%d Oggetto/i</a>"
"Your Wishlist was successfully shared","La tua Wishlist è stata condivisa"
"Wishlist is empty now.","La Wishlist ora è vuota."
"RSS link to %s's wishlist","link RSS alla wishlist di %s"
"Message","Messaggio"
"Email Sender","Mittente"
"Cannot create wishlist","Non è possibile creare la Wishlist"
"Can't save description %s","Non è possibile salvare la descrizione %s"
"You input not valid email address.","Non hai inserito una email valida."
"You have no items in your wishlist.","Non hai prodotti nella tua wishlist."
"Share options","Opzioni condivisione"
"General Options","Opzioni Generali"
"Product","Prodotto"
"This product(s) is currently out of stock:","Questo prodotto(i) è attualmente esaurito:"
"Remove Item","Rimuovi prodotto"
"Are you sure you would like to remove this item from the wishlist?","Sei sicuro di voler rimuovere questo articolo dalla Wishlist?"
"Are you sure you want to remove this product from your wishlist?","Sei sicuro di voler rimuovere questo prodotto dalla tua wishlist?"
"Are You sure?","Sei sicuro?"
"There was an error while adding item to wishlist.","Si è verificato un errore aggiungendo prodotti alla wishlist."
"There was an error while adding item to wishlist: %s","Si è verificato un errore aggiungendo un prodotto alla wishlist: %s"
"There was an error while deleting item from wishlist.","Si è verificato un errore nel rimuovere prodotti dalla wishlist."
"There was an error while deleting item from wishlist: %s","Si è verificato un errore nel rimuovere prodotti dalla wishlist: %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Spunta questa casella se vuoi aggiungere un link ad un feed rss per la tua wishlist"
"Email Template","Template Email"
"Last Added Items","Ultimi prodotti aggiunti"
"Go to Wishlist","Vai alla Wishlist"
"View Product","Visualizza prodotti"
"Wishlist","Wishlist"
"%s's Wishlist","Wishlist di %s"
