"--Please Select--","--Lütfen Seçiniz--"
"API Login ID","API Giriþ No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Authorize.net Direct Post","Authorize.net Direk Posta"
"Card Verification Number","Kart Doðrulama Numarasý"
"Card Verification Number Visual Reference","Kart Doðrulama Numarasý Görsel Referans"
"Close","Kapat"
"Credit Card Information","Kredi Kartý Bilgisi"
"Credit Card Number","Kredi Kartý Numarasý"
"Credit Card Type","Kredi Kartý Tipi"
"Credit Card Types","Kredi Kartý Tipleri"
"Credit Card Verification","Kredi Kartý Doðrulama"
"Debug","Hata Ayýklama"
"Email Customer","Müþteriye Mail Gönder"
"Enabled","Açýk"
"Expiration Date","Son Kullaným Tarihi"
"Gateway URL","Geçit Adresi"
"Maximum Order Total","Ýzin verilen En Yüksek Toplam"
"Merchant MD5","Satýcý MD5"
"Merchant's Email","Satýcý E-Mail"
"Minimum Order Total","Ýzin verilen En Düþük Toplam"
"New Order Status","Yeni Sipariþ Durumu"
"Order saving error: %s","Sipariþ kaydedilirken hata oluþtu : %s"
"Payment Action","Ödeme Ýþlemi"
"Payment authorization error.","Ödeme doðrulama hatasý."
"Payment authorization error. Transacion id is empty.","Ödeme doðrulama hatasý. Ýþlem numarasý boþ."
"Payment error. Order was not found.","Ödeme hatasý. Sipariþ bulunamadý."
"Payment error. Paid amount doesn\'t match the order amount.","Ödeme hatasý. Alýnan ödeme ile sipariþ toplamý eþit deðil."
"Payment from Applicable Countries","Mümkün olan her ülkeden"
"Payment from Specific Countries","Sadece belirlenen ülkelerden"
"Please, choose payment method","Lütfen ödeme yöntemi seçiniz"
"Response hash validation failed. Transaction declined.","Veri akýþý esnasýnda anahtar kelime eþlemesi yapýlamadý. Ýþlem reddedildi."
"Sort Order","Sýralama"
"Test Mode","Test Modu"
"The order has been created.","Sipariþ oluþturuldu."
"There was an error processing your order. Please contact us or try again later.","Sipariþiniz iþlenirken sorun oluþtu. Lütfen site yönetimi ile baðlantý kurunuz veya daha sonra tekrar deneyiniz."
"Title","Baþlýk"
"Transaction Key","Ýþlem Anahtarý"
"What is this?","Bu nedir?"
"You will be required to enter your payment details before you place an order.","Sipariþi tamamlamak için ödeme detaylarýnýzý girmeniz gerekiyor."
