"Action","Ação"
"All types","Todos os tipos"
"An error occurred while writing to the backup file "%s".","Ocorreu um erro ao escrever para o ficheiro de cópia de segurança "%s"."
"Backup file "%s" can't read or write","Ficheiro de cópia de segurança "%s" não é possível ler ou escrever"
"Backup file "%s" cannot be read from or written to.","O ficheiro da cópia de segurança "%s" não pode ser lido ou escrito."
"Backup file "%s" does not exist.","O ficheiro "%s" da cópia de segurança não existe."
"Backup file "%s" doesn't exist","O ficheiro de cópia de segurança "%s" não existe"
"Backup file does not exist.","O ficheiro da cópia de segurança não existe."
"Backup file doesn't exist","O ficheiro de cópia de segurança não existe"
"Backup file handler don't specify","handler" do ficheiro da cópia de segurança não especificado""
"Backup file handler was unspecified.","O handler da cópia de segurança não foi especificado."
"Backup file path don't specify","Caminho do ficheiro de cópia de segurança não especificado"
"Backup file path was not specified.","Caminho para a cópia de segurança não especificado."
"Backups","Cópias de segurança"
"Cannot read backup file","Não é possível ler a cópia de segurança"
"Cannot read backup file.","Não foi possível ler o ficheiro da cópia de segurança."
"Create Backup","Criar cópia segurança"
"Database was successfuly backed up.","Cópia de segurança da Base de Dados corretamente criada"
"DB","BD"
"Download","Transferir"
"Error write to Backup file "%s"","Erro ao escrever para o ficheiro de cópia de segurança "%s""
"File compressed with Zlib, but this extension is not installed on server","Ficheiro comprimido com Zlib, mas a extensão não está instalada"
"Size, byte","Tamanho, byte"
"Size, Bytes","Tamanho, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O ficheiro foi comprimido com a extensão ZLib, mas esta extensão não foi encontrada no servidor."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar a cópia de segurança. Por favor tente novamente mais tarde."
"Wrong order of creation for new backup","Ordem de criação de cópia de segurança errada"
"Wrong order of creation for new backup.","Ordem de criação de nova cópia de segurança errada"
