"1 star","1つ星"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"Be the first to review this product","この商品の最初のレビューを書く"
"Rating with the same title","同じタイトルの格付け"
"Default Value","デフォルト値"
"Option Label","オプションのラベル"
"Option Title","オプションのタイトル"
"Option Title:","オプションのタイトル:"
"Assigned Options","割り当てられたオプション"
"Delete Rating","評価の削除"
"Edit Rating","評価の編集"
"Rating isn't Available","評価することはできません"
"Visible In","閲覧可能な"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Ratings","格付け"
"Save Rating","格付けの保存"
"Rating Visibility","格付けの表示"
"Rating Name","格付け名"
"Rating Options","格付けオプション"
"Rating Title","格付けタイトル"
"Please select one of each ratings above","格付けを選択してください。"
"Rating Information","格付け情報"
"New Rating","新しい評価"
"Add New Rating","新規ランクの追加"
