"Enabled","Abilitato"
"Business Account","Account Business"
"PayPal Accounts","Account PayPal"
"Update Shipping Method","Aggiorna Metodo di Spedizione"
"Amex","American Express"
"Items in Your Shopping Cart","Articoli nel Carrello"
"Authorize and Capture","Autorizza e Riscuoti"
"Authorization","Autorizzazione"
"Payment Action","Azione di Pagamento"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Change Payment Method","Cambia Metodo di Pagamento"
"Paypal Checkout","Checkout Paypal"
"What is this?","Cos'&egrave; questo?"
"Switch/Solo card start Date: %s/%s","Data di inizio della carta Switch/Solo: %s/%s"
"Start Date","Data di Partenza
Submitting order information..."""
"Expiration Date","Data di Scadenza"
"Expiration Date: %s/%s","Data di Scadenza: %s/%s"
"You will be redirected to paypal in a few seconds.","Entro pochi secondi sarai trasferito al sito di Paypal."
"Error in refunding the payment","Errore durante il rimborso del pagamento"
"Error in creating an invoice","Errore durante la creazione di una fattura"
"Invoice ","Fattura "
"API Signature","Firma API"
"Proxy Host","Host Proxy"
"Invalid transaction id","Id di transazione non valido"
"Debug Flag","Indicatore di Debug"
"Sandbox Flag","Indicatore di Sandbox"
"Shipping Address","Indirizzo di Spedizione"
"Shipping Information","Informazione di Spedizione"
"Billing Information","Informazioni di Fatturazione"
"Name on the Card: %s","Intestatario Carta: '%s'"
"Place an Order","Invia un Ordine"
"Submitting order information...","Invio informazioni d'ordine..."
"Received IPN verification","IPN di Verifica Ricevuto"
"Paypal IPN Invalid.","IPN Paypal Non Valido."
"Order total amount does not match paypal gross total amount","L'ammontare totale dell'Ordine &egrave; superiore alla disponibilità di fondi presente su PayPal"
"Your billing address will be ignored and you will be redirected to PayPal UK website","L'indirizzo di fatturazione verrà ignorato e sarai trasferito al sito di Paypal UK"
"MasterCard","MasterCard"
"Payment Method","Metodo di Pagamento"
"Shipping Method","Metodo di Spedizione"
"Edit Shopping Cart","Modifica Carrello"
"N/A","N/D"
"Business Name","Nome Business"
"Product Name","Nome Prodotto"
"Name on Card","Nome sulla Carta di Credito"
"API User Name","Nome Utente API"
"Credit Card Number","Numero Carta di Credito"
"Credit Card Number: xxxx-%s","Numero Carta di Credito: xxxx-%s"
"Switch/Solo card issue number: %s","Numero della carta Switch/Solo: %s"
"Issue Number","Numero di Emissione"
"Sort order","Ordinamento"
"Order","Ordine"
"Payment from Specific countries","Pagamento da Paesi Specificati"
"Payment from applicable countries","Pagamento dai paesi applicabili"
"API Password","Password API"
"Unknown PayPal API error: %s","PayPal API errore sconosciuto: %s"
"PayPal Direct (Website Payments Pro)","PayPal Direct (Sito Pagamenti Pro )"
"PayPal Email","PayPal Email"
"Paypal Express (Website Payments Pro)","Paypal Express (Sito Web Pagamenti Professionale)"
"PayPal Standard (Website Payments Standard)","PayPal Standard (Sito Pagamenti Standard)"
"PayPal Uk Account","PayPal Uk Account"
"Please select a valid shipping method","Per favore, seleziona un metodo di spedizione valido"
"Please select a shipping method...","Per favore, seleziona un metodo di spedizione..."
"Proxy Port","Porta Proxy"
"Price","Prezzo"
"Problem during communication with PayPal","Problema durante l'interazione con PayPal"
"Qty","Qta"
"Review Order","Recensisci Ordine"
"Discover","Scoprire"
"Selected currency code (","Seleziona il codice valuta ("
"There has been an error processing your payment. Please try later or contact us for help.","Si &egrave; verificato un errore durante il pagamento. Per favore, riprova più tardi oppure contattaci per richiedere assistenza."
"There was an error during communication with Paypal: %s - %s","Si &egrave; verificato un errore durante l'interazione con Paypal: %s - %s"
"There was an error connecting to the Paypal server: %s","Si &egrave; verificato un errore durante la connession al al server Paypal: %s"
"Website Payments Pro (Express, Direct)","Sito Web Pagamenti Professionale (Express, Direct)"
"Website Payments Standard","Sito Web Pagamenti Standard"
"Switch/Solo Only","Solamente Switch/Solo"
"Sorry, no quotes are available for this order at this time.","Spiacente, preventivo per l'ordine non disponibile al momento."
"New order status","Stato del nuovo ordine"
"Subtotal","Subtotale"
"Credit Card Types","Tipi di Carte di Credito"
"Type","Tipo"
"Credit Card Type","Tipo Carta di Credito"
"Credit Card Type: %s","Tipo Carta di Credito: %s"
"Transaction Type","Tipo di Transazione"
"Title","Titolo"
"Paypal Logo Image URL(150x150)","URL Immagine Logo Paypal (150x150)"
"Use Proxy","Usa Proxy"
"Sale","Vendita"
"Card Verification Number","Verifica Numero di Carta"
"Visa","Visa"
