"Billing Information","Informações de Faturação"
"Change Payment Method","Alterar Método de Pagamento"
"Change Shipping Address","Alterar Morada de Envio"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Email","Email"
"Express Checkout and Order have been canceled.","Express Checkout e Encomenda cancelado"
"Express Checkout has been canceled.","Express Checkout cancelado"
"Fetch","Obter"
"Incl. Tax","Incl. Imp."
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"No shipping method required.","Não necessário método de envio."
"Payment has been declined. Please try again.","O pagamento foi negado. Por favor tente novamente."
"Payment Method","Método de Pagamento"
"PayPal Account","Conta PayPal"
"PayPal Email","Email PayPal"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","O Token PayPal Express Checkout não existe"
"PayPal Express Order Review Form","Formulário de Revisão Encomenda PayPal Express"
"PayPal Settlement Reports","Relatórios Acordos Paypal"
"Pending PayPal","Pendente PayPal"
"Place an Order","Colocar Encomenda"
"Please select a shipping method...","Por favor selecione um método de envio..."
"Price","Preço"
"Product Name","Nome Produto"
"Qty","Qt"
"Reports","Relatórios"
"Review Order","Rever Encomenda"
"Sales","Vendas"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem câmbios disponíveis para esta encomenda."
"Submitting order information...","A Submeter informação encomenda..."
"Subtotal","Sub-Total"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Não foi possível cancelar Express Checkout."
"Unable to initialize Express Checkout review.","Não foi possível inicializar revisão Express Checkout."
"Unable to place the order.","Não foi possível colocar a encomenda"
"Unable to process Express Checkout approval.","Não foi possível processar aprovação Express Checkout."
"Unable to start Express Checkout.","Não foi possível iniciar a finalização de encomenda Express."
"Unable to update shipping method.","Não foi possível atualizar o método de envio."
"Update Shipping Method","Atualizar Método de Envio"
"View","Ver"
"View Transaction","Ver Transação"
"Wrong PayPal Express Checkout Token specified.","Token especificado para PayPal Express Checkout errado."
"You will be redirected to Paypal in a few seconds.","Será redirecionado para o site do Paypal dentro de poucos segundos"
"You will be redirected to PayPal website when you place an order.","Será redirecionado para o site do Paypal assim que colocar a encomenda."
"You will be redirected to the PayPal website in a few seconds.","Será redirecionado para o site do Paypal dentro de poucos segundos"
"Your billing address will be ignored and you will be redirected to PayPal website","O seu endereço de faturação será ignorado e será redirecionado para o site do Paypal dentro de poucos segundos"
