"%s","%s"
"-- Please Select --","-- Lütfen Seçiniz --"
"Actions","Ýþlemler"
"Add Layout Update","Yapý Güncellemesi Ekle"
"Add New Widget Instance","Yeni Bir Kutucuk Ekle"
"All","Hepsi"
"All Pages","Tüm Sayfalar"
"All Product Types","Tüm Ürün Tipleri"
"Anchor Categories","Baðlantýlý Kategoriler"
"Assign to Store Views","Maðaza Görünümü ile Ýliþkilendir"
"Big Image","Büyük Resim"
"Block Reference","Blok Referansý"
"CMS","CMS"
"Categories","Kategoriler"
"Choose...","Seçiniz..."
"Close","Kapat"
"Continue","Devam Et"
"Default Template","Varsayýlan Tema"
"Delete","Sil"
"Design Package/Theme","Tasarým Paketi/Temasý"
"Export to:","Veri Çýkar:"
"Frontend Properties","Ön Sayfa Ayarlarý"
"Generic Pages","Genel Sayfalar"
"Images","Resimler"
"Insert Widget","Kutucuk Ekle"
"Layout Updates","Yapý Güncellemesi"
"Manage Widget Instances","Kutucuk Örneklerini Yönet"
"New Instance","Yeni Örnek"
"New Widget Instance","Kutucuk Örneði Ekle"
"Next page","Sonraki Sayfa"
"Non-Anchor Categories","Baðlantýlý Olmayan Kategoriler"
"Not Selected","Seçilmedi"
"Page","Sayfa"
"Please Select Block Reference First","Lütfen Önce Blok Baðlantýsýný Seçiniz"
"Previous page","Önceki sayfa"
"Products","Ürünler"
"Remove Layout Update","Yapý Güncellemesini Kaldýr"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Select All","Hepsini Seç"
"Select Visible","Görünenleri Seç"
"Settings","Ayarlar"
"Sort Order","Sýralama"
"Sort Order of widget instances in the same block reference","Ayný blok içindeki kutucuklarýn sýralama þekli"
"Specific %s","Özel %s"
"Specified Page","Belirtilen Sayfa"
"Template","Tema"
"The information in this tab has been changed.","Bu sekmedeki veri deðiþti."
"The widget instance has been deleted.","Kutucuk örneði silindi."
"The widget instance has been saved.","Kutucuk örneði kaydedildi."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekme hatalý veri içeriyor. Kaydetmeden önce sorunu çözünüz."
"Thumbnail","Küçük Resim"
"Total %d records found","Toplam %d kayýt bulundu"
"Type","Tip"
"Unselect All","Seçimi Kaldýr"
"Unselect Visible","Görünenleri Seçimden Kaldýr"
"View","Göster"
"Widget","Kutucuk"
"Widget ""%s""","Kutucuk ""%s"""
"Widget ID","Kutucuk ID"
"Widget Instance","Kutucuk Örneði"
"Widget Instance Title","Kutucuk Örneði Baþlýðý"
"Widget Options","Kutucuk Seçenekleri"
"Widget Type","Kutucuk Tipi"
"Widget Type is not specified","Kutucuk tipi belirlenmedi"
"Widget instance is not full complete to create.","Kutucuk örneði kaydetmek için yeterli deðil."
"Widgets","Kutucuklar"
"Wrong wigdet instance specified.","Yanlýþ kutucuk örneði seçildi."
"items selected","kayýt seçildi"
"of %s pages","/ %s sayfa"
"per page","sayfa baþý"
