"%s codes deleted","%s códigos removidos"
"%s codes imported","%s códigos importados"
"%s codes not imported","%s códigos não importados"
"%s product in feed.","%s produtos no feed"
"%s product not in feed.","%s produtos não no feed."
"Add new","Adicionar novo"
"Attrib. Set Name","Nome Grupo Atr."
"Attributes map","Mapa de atributos"
"Cron Frequency","Frequência Cron"
"Cron Hour","Hora Cron"
"Delete","Remover"
"Eav code","Código Eav"
"Feed","Feed"
"Feed code","código feed"
"FTP Password","Palavra-passe FTP"
"FTP Path","Caminho FTP"
"FTP Server","Servidor FTP"
"FTP Settings","Definições FTP"
"FTP User","Utilizador FTP"
"FTP: Can't delete files","FTP: Não é possível remover os ficheiros"
"ID","ID"
"Import","Importar"
"Import attribute map","Mapa de atributos de importação"
"Import code","Código Importação"
"In feed","No Feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href="https://merchant.thefind.com/mc/claim.fhtml">here</a> to get started.","Para aceder à sua informação de conta FTP, necessita de registar e verificar primiero a sua loja no Centro de Comerciantes TheFind. Clique <a href="https://merchant.thefind.com/mc/claim.fhtml">aqui</a> para iniciar o processo"
"Is imported","É importado"
"Item params","Parâmetros do Item"
"Manage attributes","Gerir Atributos"
"Manage items","Gerir Itens"
"Not import","Não Importar"
"Not publish","Não publicar"
"Price","Preço"
"Product import","Importação Produto"
"Product Name","Nome Produto"
"Publish","Publicar"
"Settings","Definições"
"SKU","SKU"
"The Find","The Find"
"TheFind feed","Feed do TheFind"
"TheFind Feed Filename","Nome do ficheiro do feed TheFind"
"Type","Tipo"
"Unable to process an import. ","Incapaz de processar a importação"
"Update TheFind Item when Product is Updated","Atualizar o TheFind quando o Produto é atualizado"
