"Update prices using the following information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Description","Açıklama"
"Description: %s","Açıklama: %s"
"Name: %s","Adı : %s"
"Active","Aktif"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Subtotal","Ara toplam"
"Actions","İşlemler"
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Discount amount","İndirim miktarı"
"Free shipping","Ücretsiz Teslimat"
"Product attribute combination","Ürün özellik kombinasyonu"
"Percent of product price discount","Ürün fiyatından yüzde olarak indirim"
"Update the Product","Ürünü Güncelle"
"Total Items Quantity","Ürünün sepetteki miktarına"
"Update product's %s %s: %s","Ürünleri güncelle %s %s: %s"
"Payment Method","Ödeme Yöntemi"
"Priority","Önem"
"Special price","Özel fiyat"
"Stop further rules processing","Çalışan kuralları durdur"
"From Date","Başlama Tarihi"
"Date Start","Başlama Tarihi"
"Start at: %s","Başlangıç : %s"
"Expire at: %s","Bitiş : %s"
"To Date","Bitiş Tarihi"
"Date Expire","Bitiş Tarihi"
"Status","Durum"
"Conditions combination","Durum listesi"
"Conditions Combination","Durum listesi"
"Conditions","Durumlar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Eğer aşağıdaki durumlar oluştuysa kuralı çalıştır (her ürüne uygulamak için boş bırakınız)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Eğer alışveriş sepetinde aşağıdaki durumlar oluştuysa kuralı çalıştır  (her ürüne uygulamak için boş bırakınız)"
"Apply the rule to cart items matching the following conditions","Eğer alışveriş sepetindeki ürünlerde aşağıdaki durumlar oluştuysa o ürün için kuralı çalıştır"
"Maximum Qty Discount is Applied to","En fazla adet indirimi uygulandı : "
"Yes","Evet"
"NOT LOGGED IN","GİRİŞ YAPMAMIŞ"
"General Information","Genel Bilgi"
"Invalid discount amount.","Hatalı indirim oranı."
"No","Hayır"
"Shipping Country","Kargo ülkesi"
"Shipping Region","Kargo bölgesi"
"Shipping State/Province","Kargo şehir"
"Shipping Postcode","Kargo posta kodu"
"Shipping Method","Kargo yöntemi"
"Catalog","Katalog"
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa bulunamıyor"
"Uses per coupon","Kupon başı kullanım"
"Coupon code","Kupon kodu"
"Coupon Code","Kupon Kodu"
"Rule Name","Kural Adı"
"Rule Information","Kural Bilgisi"
"This rule no longer exists","Kural bulunamıyor"
"Add New Rule","Kural Ekle"
"Rule was successfully saved","Kural kaydedildi"
"Rule was successfully deleted","Kural silindi"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Save Rule","Kuralı kaydet"
