" in rows: "," satýrlarda: "
"-- Please Select --","-- Lütfen Seçiniz --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptör, Mage_ImportExport_Model_Import_Adapter_Abstract modelinin bir örneði olmalýdýr"
"Adapter type must be a non empty string","Adaptör tipi boþ olmayan yazý olmalý"
"Can not determine attribute filter type","Özellik filtre tipi belirlenemedi"
"Can not find required columns: ","Ýstenen Sütunlar bulunamadý : "
"Can not get autoincrement value","Otomatik artýrma deðeri bulunamadý"
"Check Data","Veriyi Kontrol Et"
"Column names has duplicates","Sütun adlarýnda çift olanlar var"
"Column names is empty or is not an array","Sütun adlarý boþ veya dizi deðiþken deðil"
"Column names: ""%s"" are invalid","Sütun adlarý : ""%s"" hatalý"
"Continue","Devam Et"
"Data is invalid or file is not uploaded","Veri hatalý veya dosya yüklenemedi"
"Destination directory is not writable","Hedef klasöre yazma hakký yok"
"Destination file is not writable","Hedef dosyaya yazma hakký yok"
"Destination file path must be a string","Hedef dosya yolu sadece alfanümerik karakterlerden oluþabilir"
"Entity Attributes","Birim Özellikleri"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Birim adaptörü Mage_ImportExport_Model_Import_Entity_Abstract in bir örneði olmalýdýr"
"Entity is unknown","Birim bulunamýyor"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract'in bir örneði olmalý"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract'in bir örneði olmalý"
"Error in data structure: behaviors are mixed","Veri yapýsýnda hata : hareket karýþýk"
"Error in data structure: entity codes are mixed","Veri yapýsýnda hata : birim kodlarý karýþýk"
"Export","Dýþarý Ver"
"Export FAQ","Dýþarý Verme SSS"
"FAQ","SSS"
"File does not contain data. Please upload another one","Dosyada veri yok. Lütfen baþka bir dosya yükleyiniz"
"File format is unknown","Dosya biçimi tanýnamadý"
"File is partially valid, but import is not possible","Dosya kýsmen doðru ama veri almak imkansýz"
"File is totally invalid. Please fix errors and re-upload file","Dosya tamamen hatalý. Lütfen bu hatalarý düzelterek dosyayý yeniden yükleyiniz"
"File is valid! To start import process press ""Import"" button","Dosya geçerli! Veri alma iþlemini baþlatmak için ""Veri Al"" tuþuna basýnýz"
"File is valid, but import is not possible","Dosya geçerli ama veri almak imkansýz"
"Header column names already set","Sütun adlarý zaten ayarlanmýþ"
"Import","Veri Al"
"Import / Export FAQ (Frequently Asked Questions)","Veri Alma / Verme SSS (Sýk Sorulan Sorular)"
"Import FAQ","Veri Alma SSS"
"Import successfully done.","Veri alma iþlemi tamamlandý."
"Import/Export","Veri Al/Ver"
"In/Out","Ýçeri/Dýþarý"
"Input entity code is not equal to entity adapter code","Giriþ birim kodu birim adaptör kodu ile ayný deðil"
"Invalid entity","Hatalý birim"
"Invalid file format","Hatalý dosya biçimi"
"Invalid parameters","Hatalý parametreler"
"Invalid seek position","Hatalý dosya iþaretçisi posizyonu"
"Invalid value for '%s'","'%s' için hatalý veri"
"No filter data provided","Filtre verisi girilmedi"
"No source specified","Kaynak belirtilmedi"
"No valid data sent","Geçerli veri gönderilmedi"
"No writer specified","Yazýcý belirtilmedi"
"Node does not has model token tag","Düðümün model belirteci etiketi yok"
"Not implemented yet","Henüz uygulanmadý"
"Please fix errors and re-upload file","Lütfen bu hatalarý düzelterek dosyayý yeniden yükleyiniz"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Lütfen bu hatalarý düzelterek dosyayý yeniden yükleyiniz veya sadece ""Veri Al"" tuþuna basarak hatalý satýrlarý gözardý ederek veri alýmýný baþlatýn"
"Some other FAQ","Diðer SSS"
"Source file moving failed","Kaynak dosya taþýnýrken hata oluþtu"
"Source file path must be a string","Kaynak dosya yolu sadece yazýdan ibaret olmalýdýr"
"Source is not set","Kaynak ayarlanmadý"
"Status","Durum"
"System busy","Sistem Meþgul"
"There are no product types available for export","Dýþarý aktarmak için uygun ürün tipi yok"
"Total size of uploadable files must not exceed %s","Yüklenecek dosyalarýn boyutu an fazla %s olmalýdýr"
"Uploaded file has no extension","Yüklenen dosyanýn uzantýsý yok"
"Validation Results","Doðrulama Sonuçlarý"
