"# of Uses","#のユーザー"
"Products tagged with '%s'","'%s' タグ付けされた商品"
"Search Results for '%s' (<a href='%s'>RSS</a>)","'%s'の検索結果(<a href='%s'>RSS</a>)"
"Products Tagged with '%s'","'%s'タグ付けされた商品"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","'%s'タグ付けされた商品(<a href='%s'>RSS</a>)"
"Customers Tagged '%s'","'%s'タグ付けされた顧客"
"Edit Tag '%s'","'%s'タグを編集"
"Add to Wishlist","ほしい物リストに追加"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:"
"Thank you. Your tag has been accepted for moderation.","ありがとうございます。タグを受け付けました。"
"Are you sure that you want to delete this tag?","このタグを削除してもいいですか？"
"Are you sure you want to delete this tag?","このタグを削除してもいいですか？"
"SKU","単位"
"First Name","名"
"Name","名前"
"Last Name","姓"
"Are you sure you want to do this?","実行してもいいですか？"
"Your tag(s) have been accepted for moderation","審査のためあなたのタグを受け付けました。"
"No matches found.","一致するものが見つかりません。"
"Popular","人気"
"Popular Tags","人気のタグ"
"Popularity","人気度"
"Price","価格"
"Save Tag","保存"
"Pending","ペンディング"
"Pending Tags","ペンディング中のタグ"
"Email","メールアドレス"
"Uses","ユーザー"
"List","リスト"
"Customer Since","レビューから"
"Block Information","ブロック情報"
"Action","アクション"
"Actions","アクション"
"Add to Cart","カートに入れる"
"Change status","ステータス変更"
"My Tags","タグ"
"Tag","タグ"
"Tags","タグ"
"Tags:","タグ:"
"Tagged in","タグつきで"
"Add Your Tags:","タグに追加する:"
"Delete Tag","タグの削除"
"Edit Tag","タグの編集"
"Add Tags","タグの追加"
"Tags Aren't Available","タグは利用できません"
"Tag can't be empty.","タグは空にできません。"
"Tag Name","タグ名"
"Tag Name: %s","タグ名: %s"
"You have not tagged any products yet.","タグ付けした商品はありません"
"Back to Tags List","タグリストに戻る"
"Unable to save tag(s)","タグを保存できません"
"Unable to save your tag. Please, try again later.","タグを保存できません。やり直してください。"
"You tag was successfully saved","タグを保存しました"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切るには空白を使って下さい。タグがフレーズの場合は、「'」で囲って下さい。"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。"
"You tag was successfully deleted","タグを削除しました"
"Back to view Tag","タグ表示に戻る"
"Tag Information","タグ情報"
"Are you sure?","よろしいですか？"
"Products","商品"
"Product SKU","商品の単位"
"Product Tags","商品のタグ"
"Product Name","商品名"
"View Products","商品を見る"
"All Tags","全てのタグ"
"All Tags","全てのタグ"
"All tags","全てのタグ"
"All tags","全てのタグ"
"View All Tags","全てのタグを見る"
"General Information","全般情報"
"Delete","削除"
"Country","国"
"CSV","CSVファイル"
"Status","状態"
"Unable to find any products tagged with '%s' in the current store","現在、'%s' でタグ付けされた商品はございません"
"Disabled","無効"
"Customers","顧客"
"View Customers","顧客を見る"
"Grid","表"
"Visible In","表示される"
"ZIP/Post Code","郵便番号"
"Telephone","電話番号"
"ID","ID"
"XML","XML"
"My Recent Tags","最近のタグ"
"Back","戻る"
"New Tag","新しいタグ"
"Add New Tag","新規タグの追加"
"Approved","承認"
