"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Kart Onaylama"
"3D Secure Cardholder Validation","3D Secure Kart Sahibi Onaylama"
"3D Secure Electronic Commerce Indicator","3D Secure Elektronik Ticaret Göstergesi"
"3D Secure Verification Result","3D Secure Onaylama Sonucu"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kart Saðlayýcý Sorumluluðu"
"Card Verification","Kart Onaylama"
"Enrolled","Alýndý"
"Enrolled but Authentication Unavailable","Alýndý fakat Onaylama Yapýlmadý"
"Failed","Hata Oluþtu"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Satýcý Sorumluluðu"
"Not Enrolled","Alýnamadý"
"Order cannot be placed.","Sipariþ kaydedilemedi."
"Payment information error. Please start over.","Ödeme bilgisinde hata. Lütfen iþlemi baþtan baþlatýnýz."
"Please continue with placing order.","Lütfen ödemeyi tamamlayarak sipariþi kaydediniz."
"Please verify the card with the issuer bank before placing the order.","Sipariþi tamamlamadan önce kart saðlayýcý bankadan kartý teyid ediniz."
"Please verify the card with the issuer bank:","Kart saðlayýcý bankadan kartý teyid ediniz:"
"Start/Reset Validation...","Onaylama iþlemini Baþlat/Sýfýrla..."
"Successful","Baþarýlý"
"Successful attempt","Baþarýlý iþlem"
"The card has failed verification with the issuer bank.","Kart saðlayýcý bankadan kart onayý alýnamadý."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Hatalý ödeme bilgisi girildi veya iþlem zaman aþýmýna uðradý. Lütfen tekrar deneyiniz."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Hatalý ödeme bilgisi girildi veya iþlem zaman aþýmýna uðradý. Lütfen tekrar deneyiniz."
"This card has failed validation and cannot be used.","Bu kart onaylanamadý ve sistem tarafýndan kabul edilmiyor."
"This card has failed validation, but it is possible to place the order.","Kart onaylama iþleminde sorun olduðundan sipariþ tamamlanamaz."
"To ensure the security of your transactions","Ýþlemlerinizin güvenliðinden emin olmak için"
"Unable to complete","Tamamlanamýyor"
"Validation failed.","Doðrulama hatasý."
"Verification Failed","Doðrulama yapýlamadý"
"Verification Successful","Doðrulama baþarýyla yapýldý"
"Verification cannot be processed","Doðrulama iþlemi yapýlamadý"
"Verified by Visa","Visa Tarafýndan Doðrulandý"
