"* Required Fields","* Campos obrigatórios"
"Add","Adicionar"
"Add Gift Message","Adicionar Mensagem ao Presente"
"Add gift message for shopping cart","Adicionar mensagem de presente para o carrinho de compras"
"Add gift messages for quote item of shopping cart","Adicionar mensagem de presente para o item de cotação no seu carrinho"
"Add gift messages to products of shopping cart","Adicionar mensagem de presente para os produtos do carrinho de compras"
"Add gift options","Adicionar opções de presente"
"Add gift options for Individual Items","Adicionar opções de presente para Itens Individuais"
"Add gift options for the Entire Order","Adicionar opções de presente para a Encomenda Completa"
"Add gift options.","Adicionar opções de presente"
"Allow Gift Messages for Order Items","Permitir Mensagens de Presentes para Itens de Encomendas"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presentes ao nível de Encomenda"
"An error occurred while saving the gift message.","Ocorreu um erro ao guardar a mensagem de presente."
"Are you sure?","Tem a certeza?"
"Cancel","Cancelar"
"Check this checkbox if you want to add gift messages to your items.","Assinale esta caixa se deseja adicionar mensagens aos seus presentes"
"Check this checkbox if you want to add gift messages.","Assinale esta caixa se deseja adicionar uma mensagem ao presente"
"Close","Fechar"
"Do you have any gift items in your order?","Tem algum presente na sua encomenda?"
"Edit","Editar"
"Edit Gift Message","Editar Mensagem do Presente"
"Enter a gift message for each item in your order.","Insira uma mensagem de presenta para cada item na sua encomenda."
"Enter a gift message for entire order.","Insira uma mensagem de presente para toda a encomenda."
"Enter a gift message for this address.","Insira uma mensagem de presente para este endereço."
"Error while saving gift message","Erro ao guardar a mensagem do presente"
"From","De"
"Gift Message","Mensagem de Presente"
"Gift Message API","API Mensagem de Presente"
"Gift message has been successfully saved","A mensagem do presente foi guardada com sucesso"
"Gift Messages","Mensagens de Presente"
"Gift Options","Opções de Presente"
"Gift Options for","Opções de presente para"
"Gift Options for Individual Items","Opções de Presente para itens individuais"
"Gift Options for the Entire Order.","Opções de presente para a encomenda completa"
"Gift Options for this address.","Opções de Presente para este endereço"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","OK"
"Remove","Remove"
"Save","Guardar"
"Save Gift Message","Guardar Mensagem do Presente"
"The gift message has been removed","A mensagem de presente foi removida."
"The gift message has been saved","A mensagem de presente foi guardada."
"The gift message has been saved.","A mensagem de presente foi guardada."
"To","Até"
"Unknown entity type","Tipo de entidade desconhecida"
"Use config","Utilizar Configuração"
"Yes","Sim"
"You can leave a box blank if you don't wish to add a gift message for the item.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao item"
"You can leave a box blank if you don't wish to add a gift message for this address.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente ao endereço"
"You can leave a box blank if you don't wish to add a gift message for whole order.","Pode deixar a caixa em branco se não deseja adicionar uma mensagem de presente à encomenda"
"You can leave this box blank if you do not wish to add a gift message for the item.","Pode deixar esta caixa desmarcada se não deseja adicionar uma mensagem de presente ao item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Pode deixar esta caixa desmarcada se não deseja adicionar uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Pode deixar esta caixa desmarcada se não deseja adicionar uma mensagem de presente para toda a encomenda."
"Your gift message has been successfully removed","A sua mensagem de presente foi corretamente removida"
"Your gift message has been successfully saved","A sua mensagem de presente foi corretamente guardada"
"Your gift message successfully removed","A sua mensagem de presente foi corretamente removida"
"Your gift message successfully saved","A sua mensagem de presente foi corretamente guardada"
