"%s codes deleted","%s kod silindi"
"%s codes imported","%s kod alýndý"
"%s codes not imported","%s kod alýnamadý"
"%s product in feed.","Veri akýþýnda %s adet ürün var."
"%s product not in feed.","%s adet ürün veri akýþýnda yok."
"Add new","Yeni Ekle"
"Attrib. Set Name","Özellik Seti Adý"
"Attributes map","Özellik Eþleþtirme"
"Cron Frequency","Zamanlama Aralýðý"
"Cron Hour","Zamanlama Saati"
"Delete","Sil"
"Eav code","Eav Kodu"
"FTP Password","FTP Þifresi"
"FTP Path","FTP Dosya Yolu"
"FTP Server","FTP Sunucu"
"FTP Settings","FTP Ayarlarý"
"FTP User","FTP Kullanýcý"
"FTP: Can't delete files","FTP: Dosyalar silinemiyor"
"Feed","Veri Akýþý"
"Feed code","Veri Akýþý Kodu"
"ID","NO"
"Import","Veri Al"
"Import attribute map","Özellik Eþleme Verisini Al"
"Import code","Veri Alma Kodu"
"In feed","Veri Akýþý Ýçinde"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","FTP bilginize eriþmek için TheFind Merchant Center bölümünde maðazanýzý kaydedip, bu kaydý teyid etmelisiniz.  Baþlamak için <a href=""https://merchant.thefind.com/mc/claim.fhtml"">BURAYA</a> týklayýnýz."
"Is imported","Veri alýndý"
"Item params","Ürün parametreleri"
"Manage attributes","Özellikleri Yönet"
"Manage items","Ürünleri Yönet"
"Not import","Veri Almaya Dahil Etme"
"Not publish","Yayýnlama"
"Price","Fiyat"
"Product Name","Ürün Adý"
"Product import","Ürün Verisi Al"
"Publish","Yayýnla"
"SKU","SKU (Ürün Kodu)"
"Settings","Ayarlar"
"The Find","The Find"
"TheFind Feed Filename","TheFind Veri Akýþý Dosya Adý"
"TheFind feed","TheFind Veri Akýþý"
"Type","Tip"
"Unable to process an import. ","Veri alma iþlemi yapýlamýyor. "
"Update TheFind Item when Product is Updated","Ürün Güncellendiðinde TheFind verisini de güncelle"
