""Remember Me" Default Value","Valor por Omissão para "Lembrar-me""
"(Not %s?)","(Não é %s?)"
"* Required Fields","* Campos obrigatórios"
"Address","Endereço"
"Address Information","Informação de endereço"
"Already registered?","Já está registado?"
"Back","Voltar"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja conseguirá processar a sua encomenda de uma forma mais rápida, armazenar múltiplos endereços, visualizar e seguir o progresso das suas encomendas e mais."
"Cannot load configuration from file %s.","Não foi possível carregar a configuração a partir do ficheiro %s."
"Checkout as a Guest or Register","Finalizar encomenda como convidado ou registar-se"
"Checkout as Guest","Finalizar encomenda como convidado"
"City","Cidade"
"Clear Persistence on Log Out","Limpar Persistência ao Terminar Sessão"
"Close","Fechar"
"Company","Empresa"
"Confirm Password","Confirmar palavra-passe"
"Continue","Continuar"
"Country","País"
"Create an Account","Criar uma nova conta"
"Easy access to your order history and status","Acesso rápido à sua encomenda e histórico"
"Email Address","Endereço de Email"
"Enable "Remember Me"","Ativar "Lembrar-me""
"Enable Persistence","Ativar Persistência"
"Fast and easy check out","Finalizar a encomenda com maior rapidez e facilidade"
"Fax","Fax"
"Forgot Your Password?","Esqueceu-se da sua palavra-passe?"
"General Options","Opções Gerais"
"If you have an account with us, please log in.","Se já tem uma conta, por favor inicie sessão"
"Loading next step...","A carregar próximo passo..."
"Login","Iniciar Sessão"
"Login Information","Informação de inicio de sessão"
"Login or Create an Account","Iniciar Sessão ou Criar uma Conta"
"New Customers","Novos Clientes"
"Password","Senha"
"Persist Shopping Cart","Carrinho de Compras Persistente"
"Persistence Lifetime (seconds)","Tempo de Vida Persistência (segundos)"
"Persistent Shopping Cart","Carrinho de Compras Persistente"
"Personal Information","Informação Pessoal"
"Please log in below:","Por favor inicie sessão abaixo"
"Please select region, state or province","Por favor selecione uma região, estado ou província"
"Register","Registar"
"Register and save time!","Registe-se e torne tudo mais rápido"
"Register to Create an Account","Registe-se para criar uma conta"
"Register with us for future convenience:","Registe-se para futura conveniência"
"Registered Customers","Clientes registados"
"Remember Me","Lembrar-me"
"Save in address book","Guardar no Livro de Endereços"
"Select a billing address from your address book or enter a new address.","Selecione o endereço de faturação do seu livro de endereços ou insira um novo"
"Select State/Province...","Selecionar Estado/Região"
"Ship to different address","Enviar para endereços distintos"
"Ship to this address","Enviar para este endereço"
"Sign Up for Newsletter","Subscrever a Newsletter"
"State/Province","Estado/Província"
"Street Address","Rua"
"Street Address %s","Morada %s"
"Submit","Submeter"
"Telephone","Telefone"
"Welcome, %s!","Bem-vindo, %s!"
"What's this?","O que é isto?"
"Zip/Postal Code","Código Postal"
