"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$sはあなたのほしい物リストに追加されました。ここを<a href=""%2$2"">クリック</a>してショッピングを続けてください"
"%s's Wishlist","%sのほしい物リスト"
"RSS link to %s's wishlist","%sのほしい物リストのRSSリンク"
"Can't save description %s","%sの説明文を保存できません"
"* Required Fields","* は必須項目です"
"My Wishlist","ほしい物リスト"
"Wishlist","ほしい物リスト"
"My Wishlist (%d item)","ほしい物リスト(%dアイテム)"
"My Wishlist (%d items)","ほしい物リスト(%dアイテム)"
"Add to Wishlist","ほしい物リストに追加"
"There was an error while adding item to wishlist: %s","ほしい物リストに追加中にエラーが発生しました: %s"
"Your Wishlist was successfully shared","ほしい物リストは正常に共有されました"
"Go to Wishlist","ほしい物リストへいく"
"There was an error while adding item to wishlist.","ほしい物リストへ追加中にエラーが発生しました"
"There was an error while deleting item from wishlist.","ほしい物リストから削除中にエラーが発生しました。"
"There was an error while deleting item from wishlist: %s","ほしい物リストから削除中にエラーが発生しました。: %s"
"Cannot create wishlist","ほしい物リストを作成できません"
"Share Wishlist","ほしい物リストを共有"
"Share Your Wishlist","ほしい物リストを共有"
"Update Wishlist","ほしい物リスト更新"
"You have no items in your wishlist.","あなたのほしい物リストには商品がありません"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","あなたのほしい物リストへRSSフィードのリンクを追加したい場合はこのチェックボックスをオンにしてください"
"You input not valid email address.","あなたの入力したemailアドレスは正しくありません"
"Sharing Information","友達に知らせる"
"Email Template","メールテンプレート"
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"Email Sender","メール送信元"
"Message","メッセージ"
"Wishlist is empty now.","ウィッシュリストは空です"
"Wishlist Sharing","ウィッシュリストを共有しています"
"Add to Cart","カートに入れる"
"Comment","コメント"
"Please, enter your comments...","コメントの登録をお願いします"
"Product","商品"
"Cannot specify product","商品が見つかりません"
"Remove Item","商品を削除する"
"View Product","商品を見る"
"Add All to Cart","全てカートに入れる"
"General Options","全体のオプション"
"Share options","共有オプション"
"Added On","登録日"
"Email address can't be empty.","Emailアドレスは空にできません"
"RSS Feed","RSSフィード"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Are you sure you want to remove this product from your wishlist?","本当にほしい物リストからこの商品を削除してよろしいですか？"
"Are You sure?","本当によろしいですか？"
"Enabled","有効"
"Last Added Items","最後に追加した項目"
"Back","戻る"
