"%d Review(s)","%d Recensione(i)"
"%s Review(s)","%s Recensione(i)"
"(Posted on %s)","(Inviato su %s)"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Product Review (submitted on %s):","<strong>Recensione Prodotto</strong> (inviata da %s):"
"Your Review (submitted on %s):","<strong>Tue recensioni</strong> (inviate da %s):"
"Add to Cart","Aggiungi al Carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add New Review","Aggiungi commento"
"Add Items to Cart","Aggiungi Oggetti nel Carrello"
"Add to Compare","Aggiungi per Comparare"
"Add Your Review","Aggiunti il tuo Commento"
"Administrator","Amministratore"
"Customer","Cliente"
"SKU","Cod"
"Product SKU","Cod prodotto"
"How do you rate this product?","Come valuti questo prodotto?"
"Buy %s for %s","Compra %s per <strong>%s</strong>"
"Created On","Creato il"
"Review Details","Dettagli Recensione"
"Availability: In stock.","Disponibilit&agrave; : Disponibile"
"Availability: Out of stock.","Disponibilit&agrave; : Esaurito"
"Be the first to review this product","Diventa il primo a recensire il prodotto"
"Delete","Elimina"
"Delete Review","Elimina Recensione"
"ID","ID"
"Unable to post review. Please, try again later.","Impossibile inviare Recensione. Riprova più tardi."
"Back","Indietro"
"Zoom In","Ingrandisci"
"Submit Review","Invia Recensioni"
"Posted By","Inviato da"
"Your review has been accepted for moderation","La tua revisione è stata accettata"
"My Product Reviews","Le mie Recensioni prodotto"
"My Recent Reviews","Le mie Recensioni Recenti"
"Nickname","Nickname"
"Name","Nome"
"Name In Store","Nome nel negozio"
"Product Name","Nome prodotto"
"You have submitted no reviews.","Non hai inviato recensioni."
"New Review","Nuova Recensione"
"OR","O"
"Guest","Ospite"
"Price","Prezzo"
"Product","Prodotto"
"Qty","Qta"
"Review","Recensione"
"Customer Reviews","Recensioni Cliente"
"Pending Reviews","Recensioni in attesa"
"Product Reviews","Recensioni Prodotto"
"Review by %s","Recensito da <em>%s</em>"
"Zoom Out","Rimpicciolisci"
"Save Review","Salva Recensione"
"Write Your Own Review","Scrivi la tua recensione"
"Edit Review '%s'","Scrivi Recensione '%s'"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"Are you sure?","Sei sicuro?"
"Please select one of each of the ratings above","Seleziona una della valutazioni qui sopra"
"Please select a product","Selezionare un prodotto"
"Summary of Your Review","Sommario delle tue Recensioni"
"Summary of Review","Sommario Recensione"
"Summary of review","Sommario recensione"
"Summary Rating","Sommario Valutazione"
"You're reviewing: %s","Stai recensendo: %s"
"Status","Stato"
"Update status","Stato degli aggiornamenti"
"Type","Tipo"
"Title","Titolo"
"Back to Main Product Info","Torna alle informazioni principali del prodotto"
"Back to Product Reviews","Torna alle Recensioni del prodotto"
"Back to My Reviews","Torna alle Tue Recensioni"
"Your Rating:","Tue Valutazioni:"
"All Reviews","Tutte le recensioni"
"Detailed Rating","Valutazione dettagliata"
"Average Customer Rating","Valutazione media del Cliente"
"Average Customer Rating:","Valutazione media del Cliente:"
"Product Rating","Valutazione Prodotto"
"Product Rating:","Valutazione Prodotto:"
"Rating:","Valutazione:"
"View Details","Vedi dettagli"
"View All Reviews","Vedi tutte le recensioni"
"Visible In","Visibile in"
"Visible Ins","Visibile in"
"Store Views","Vista Negozio"
